DiaChi,TinhTrangBDS,DienTich,Gia/m2,Phongngu,TenPhanKhu,SoTang,PhongTam,Loai,GiayTo,MaCanHo,TinhTrangNoiThat,HuongCuaChinh,HuongBanCong,DacDiem,Gia
,,,,,,,,,,,,,,,
"Đường Nguyễn Xiển, Phường Đại Kim, Quận Hoàng Mai, Hà Nội",Chưa bàn giao,,"47,09 triệu/m²",3 phòng,,,2 phòng,Chung cư,Sổ hồng riêng,,,,,,"4,05 tỷ"
,,,,,,,,,,,,,,,
"Hoàng Đạo Thành , Phường Kim Giang, Quận Thanh Xuân, Hà Nội",Đã bàn giao,,"34,60 triệu/m²",2 phòng,,,1 phòng,"Căn hộ dịch vụ, mini",Hợp đồng mua bán,,,,,,"1,73 tỷ"
"Triều Khúc , Phường Thanh Xuân Nam, Quận Thanh Xuân, Hà Nội",Đã bàn giao,,"33,33 triệu/m²",2 phòng,,,1 phòng,"Căn hộ dịch vụ, mini",Hợp đồng mua bán,,,,,,"1,5 tỷ"
"Giáp Nhất , Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",Đã bàn giao,,"30,55 triệu/m²",2 phòng,,,1 phòng,"Căn hộ dịch vụ, mini",Hợp đồng mua bán,,,,,,"1,68 tỷ"
"Mỗ Lao, Phường Mộ Lao, Quận Hà Đông, Hà Nội",Đã bàn giao,,50 triệu/m²,4 phòng,,,3 phòng,,,,,Tây Bắc,Đông Nam,,"8,8 tỷ"
"Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",Chưa bàn giao,,"44,92 triệu/m²",2 phòng,,,1 phòng,Chung cư,Sổ hồng riêng,,,,,,"2,65 tỷ"
,,,,,,,,,,,,,,,
"Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",Đã bàn giao,,"42,83 triệu/m²",2 phòng,,,1 phòng,Chung cư,Sổ hồng riêng,,,,,,"2,57 tỷ"
"Ngõ 1 Đỗ Nhuận, Phường Xuân Tảo, Quận Bắc Từ Liêm, Hà Nội",Đã bàn giao,,"65,05 triệu/m²",3 phòng,A,,2 phòng,,,,,,Đông Bắc,,"6,05 tỷ"
"Hưng Chính, Xã Đông Hội, Huyện Đông Anh, Hà Nội",Chưa bàn giao,,"104,63 triệu/m²",3 phòng,,,2 phòng,Chung cư,Hợp đồng mua bán,,,,,,"9,5 tỷ"
"Phố Hoàng Cầu, Phường Trung Liệt, Quận Đống Đa, Hà Nội",Đã bàn giao,,"13,33 triệu/m²",2 phòng,,,1 phòng,,,,,Đông,Đông Nam,,600 triệu
"Đường Mỹ Đình, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",Đã bàn giao,,13 triệu/m²,2 phòng,,,1 phòng,,,,,Đông,Nam,,650 triệu
"Đường Lê Duẩn, Phường Phương Liên, Quận Đống Đa, Hà Nội",Đã bàn giao,,"15,48 triệu/m²",2 phòng,,,1 phòng,,,,,Đông,Đông Bắc,,650 triệu
"Phố Hào Nam, Phường Cát Linh, Quận Đống Đa, Hà Nội",Đã bàn giao,,"15,12 triệu/m²",2 phòng,,,1 phòng,,,,,Tây Bắc,Đông Nam,,726 triệu
"Bạch Mai, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội",Đã bàn giao,,"29,40 triệu/m²",2 phòng,,,1 phòng,Chung cư,Đang chờ sổ,,,,,,"1,47 tỷ"
"TÒA SAPPHIRE ( S), Vinhome ocean pack1, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",Đã bàn giao,,60 triệu/m²,1 phòng,,24,1 phòng,,,,,,Đông Nam,,"1,83 tỷ"
"Phố Kim Ngưu, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội",Đã bàn giao,,"17,92 triệu/m²",2 phòng,,,1 phòng,,,,,Đông Bắc,Đông Nam,,860 triệu
"Phố Trần Hữu Dực, Phường Cầu Diễn, Quận Nam Từ Liêm, Hà Nội",Đã bàn giao,,"52,88 triệu/m²",3 phòng,,,2 phòng,Chung cư,Sổ hồng riêng,,,,,,"5,5 tỷ"
"2323, Trường Sa, Xã Đông Hội, Huyện Đông Anh, Hà Nội",Đã bàn giao,,"53,53 triệu/m²",3 phòng,River,21,,Chung cư,,,,,,,"4,55 tỷ"
"Đại Mỗ, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",Đã bàn giao,,"67,27 triệu/m²",2 phòng,,22,2 phòng,,,,,Tây Bắc,,,"3,7 tỷ"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Đường Nguyễn Khánh Toàn, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội",Đã bàn giao,,"33,40 triệu/m²",2 phòng,,,1 phòng,Chung cư,Sổ hồng riêng,,,,,,"1,67 tỷ"
"Phố Dương Khuê, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",Đã bàn giao,,"65,18 triệu/m²",2 phòng,,,1 phòng,Chung cư,Sổ hồng riêng,,,,,,"3,65 tỷ"
"Phố 8 Tháng 3, Phường Quỳnh Mai, Quận Hai Bà Trưng, Hà Nội",Chưa bàn giao,,"43,08 triệu/m²",2 phòng,,,1 phòng,"Tập thể, cư xá",Sổ hồng riêng,,,,,,"2,8 tỷ"
"Thái Hà , Phường Trung Liệt, Quận Đống Đa, Hà Nội",Đã bàn giao,,"21,05 triệu/m²",2 phòng,,,2 phòng,Chung cư,Sổ hồng riêng,,,,,,800 triệu
"Phố 8 Tháng 3, Phường Quỳnh Mai, Quận Hai Bà Trưng, Hà Nội",Chưa bàn giao,,"43,08 triệu/m²",2 phòng,,5,,Chung cư,Sổ hồng riêng,,,,,,"2,8 tỷ"
"Đường Hoàng Quốc Việt, Phường Nghĩa Tân, Quận Cầu Giấy, Hà Nội",Đã bàn giao,,"37,79 triệu/m²",3 phòng,,,2 phòng,"Tập thể, cư xá",Sổ hồng riêng,,,,,,"3,25 tỷ"
"Hoàng Đạo Thành, Phường Kim Giang, Quận Thanh Xuân, Hà Nội",Đã bàn giao,,59 triệu/m²,2 phòng,,,1 phòng,"Tập thể, cư xá",Sổ hồng riêng,,,,,,"2,95 tỷ"
,,,,,,,,,,,,,,,
"Đường Hoàng Quốc Việt, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",Đã bàn giao,,"52,50 triệu/m²",2 phòng,,5,1 phòng,"Tập thể, cư xá",,,,,,,"3,15 tỷ"
"Đường Phạm Văn Đồng, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",Chưa bàn giao,,"40,91 triệu/m²",3 phòng,,,2 phòng,"Tập thể, cư xá",Sổ hồng riêng,,,,,,"4,5 tỷ"
"Phố Đỗ Nhuận, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội",Đã bàn giao,,"43,29 triệu/m²",2 phòng,,,1 phòng,Chung cư,Sổ hồng riêng,,,,,,"3,55 tỷ"
"Đường Xuân Phương, Phường Phương Canh, Quận Nam Từ Liêm, Hà Nội",Chưa bàn giao,,"203,33 triệu/m²",nhiều hơn 10 phòng,,,Nhiều hơn 6 phòng,"Căn hộ dịch vụ, mini",Sổ hồng riêng,,,,,,"9,15 tỷ"
"Vũ Trọng Phụng, Phường Thanh Xuân Trung, Quận Thanh Xuân, Hà Nội",Đã bàn giao,,"56,94 triệu/m²",3 phòng,,,2 phòng,Chung cư,1,,,,,,"6,15 tỷ"
"Phố Mạc Thái Tổ, Phường Yên Hoà, Quận Cầu Giấy, Hà Nội",Đã bàn giao,,"59,28 triệu/m²",3 phòng,,,2 phòng,Chung cư,Hợp đồng mua bán,,,,,,"5,75 tỷ"
"Đường Đại lộ Thăng Long, Xã An Khánh, Huyện Hoài Đức, Hà Nội",Đã bàn giao,,"47,16 triệu/m²",3 phòng,,8,2 phòng,,,,,Tây,,,"4,15 tỷ"
"Phố Chùa Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội",Chưa bàn giao,,"37,57 triệu/m²",3 phòng,,,2 phòng,"Tập thể, cư xá",Sổ hồng riêng,,,,,,"2,63 tỷ"
